,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Check,Month,Year,Day_Perc_Change,Trend,Bollinger,std_dev,std_2,middle,upper,lower
25,25,HEROMOTOCO,EQ,2017-06-19,3783.55,3790.0,3834.0,3790.0,3830.0,3825.45,3821.75,176591,674886161.8,22384,76227,43.17,ok,6,2017,1.1074255659367482,Positive,3790.9107142857133,29.627774131711924,59.25554826342385,3790.9107142857133,3820.538488417425,3761.2829401540016
26,26,HEROMOTOCO,EQ,2017-06-20,3825.45,3829.0,3846.9,3781.0,3786.0,3797.0,3806.82,235259,895588945.7,34610,122496,52.07,ok,6,2017,-0.7437033551608296,Slight negative,3794.5928571428562,20.117187924750564,40.23437584950113,3794.5928571428562,3814.7100450676066,3774.475669218106
27,27,HEROMOTOCO,EQ,2017-06-21,3797.0,3805.0,3809.8,3756.0,3765.0,3769.25,3773.21,253054,954826784.8,30240,205141,81.07,ok,6,2017,-0.7308401369502282,Slight negative,3797.157142857142,19.6222131779232,39.2444263558464,3797.157142857142,3816.779356035065,3777.5349296792187
28,28,HEROMOTOCO,EQ,2017-06-22,3769.25,3770.0,3788.3,3717.55,3721.65,3730.7,3758.12,272211,1023001975.0,22996,185201,68.04,ok,6,2017,-1.0227498839291638,Negative,3788.6535714285706,27.25896641474068,54.51793282948136,3788.6535714285706,3815.9125378433114,3761.3946050138297
29,29,HEROMOTOCO,EQ,2017-06-23,3730.7,3725.0,3730.05,3650.0,3650.55,3660.1,3676.28,371113,1364314798.65,43755,260537,70.2,ok,6,2017,-1.8924062508376416,Negative,3776.1642857142847,49.921738751771464,99.84347750354293,3776.1642857142847,3826.086024466056,3726.242546962513
30,30,HEROMOTOCO,EQ,2017-06-27,3660.1,3676.0,3711.7,3636.6,3700.0,3695.2,3671.43,365879,1343297828.15,44560,262472,71.74,ok,6,2017,0.9589901915248112,Slight positive,3768.682142857142,24.819448019651293,49.63889603930259,3768.682142857142,3793.501590876793,3743.862694837491
31,31,HEROMOTOCO,EQ,2017-06-28,3695.2,3681.0,3723.6,3667.05,3688.4,3688.45,3698.43,496312,1835577487.45,40066,364249,73.39,ok,6,2017,-0.18266940896297654,Slight or No change,3757.624999999999,4.772970773024226,9.545941546048452,3757.624999999999,3762.397970773023,3752.852029226975
32,32,HEROMOTOCO,EQ,2017-06-29,3688.45,3700.0,3735.95,3682.0,3724.5,3716.35,3706.91,384888,1426746550.25,31569,198187,51.49,ok,6,2017,0.7564152963982274,Slight positive,3752.760714285713,19.72827919510728,39.45655839021456,3752.760714285713,3772.4889934808207,3733.0324350906058
33,33,HEROMOTOCO,EQ,2017-06-30,3716.35,3690.0,3714.75,3665.0,3685.4,3701.35,3687.49,205581,758078830.45,20124,119182,57.97,ok,6,2017,-0.4036218332503672,Slight or No change,3747.135714285713,10.60660171780197,21.21320343560394,3747.135714285713,3757.742316003515,3736.5291125679114
34,34,HEROMOTOCO,EQ,2017-07-03,3701.35,3688.0,3785.25,3671.4,3770.1,3776.1,3740.38,249649,933782078.1,17602,96380,38.61,ok,7,2017,2.0195334134842646,Positive,3747.339285714285,52.85623189369466,105.71246378738932,3747.339285714285,3800.1955176079796,3694.48305382059
35,35,HEROMOTOCO,EQ,2017-07-04,3776.1,3804.05,3804.05,3693.65,3700.0,3703.35,3726.19,474327,1767434870.55,31147,171046,36.06,ok,7,2017,-1.9265909271470536,Negative,3743.8285714285703,51.442018331321556,102.88403666264311,3743.8285714285703,3795.2705897598917,3692.386553097249
36,36,HEROMOTOCO,EQ,2017-07-05,3703.35,3700.5,3717.7,3696.8,3701.0,3709.75,3708.94,142509,528557277.0,13756,63523,44.57,ok,7,2017,0.17281650397613646,Slight or No change,3738.1642857142842,4.525483399604859,9.050966799209718,3738.1642857142842,3742.6897691138893,3733.638802314679
37,37,HEROMOTOCO,EQ,2017-07-06,3709.75,3716.05,3745.0,3708.0,3722.8,3725.35,3733.53,161483,602901500.0,17899,83270,51.57,ok,7,2017,0.42051351169216655,Slight or No change,3734.424999999999,11.030865786514092,22.061731573028183,3734.424999999999,3745.4558657865127,3723.394134213485
38,38,HEROMOTOCO,EQ,2017-07-07,3725.35,3720.0,3722.7,3673.0,3675.05,3681.65,3690.33,182590,673818223.45,27176,108288,59.31,ok,7,2017,-1.1730441435032881,Negative,3727.1464285714274,30.90056633785374,61.80113267570748,3727.1464285714274,3758.0469949092812,3696.2458622335735
39,39,HEROMOTOCO,EQ,2017-07-10,3681.65,3699.55,3740.0,3687.0,3725.2,3731.0,3724.71,43195,160888828.4,3510,20054,46.43,ok,7,2017,1.3404315999619776,Positive,3720.3999999999987,34.89571965155758,69.79143930311515,3720.3999999999987,3755.2957196515563,3685.504280348441
40,40,HEROMOTOCO,EQ,2017-07-11,3731.0,3735.0,3757.3,3735.0,3745.5,3748.3,3751.06,227102,851873451.55,26279,174117,76.67,ok,7,2017,0.4636826588046095,Slight or No change,3716.9214285714274,12.232947314532373,24.465894629064746,3716.9214285714274,3729.15437588596,3704.688481256895
41,41,HEROMOTOCO,EQ,2017-07-12,3748.3,3758.95,3776.95,3707.65,3721.2,3718.75,3735.47,232681,869171938.6,23536,158417,68.08,ok,7,2017,-0.7883573886828699,Slight negative,3713.314285714285,20.895005384065254,41.79001076813051,3713.314285714285,3734.20929109835,3692.4192803302194
42,42,HEROMOTOCO,EQ,2017-07-13,3718.75,3732.2,3768.0,3731.1,3749.95,3750.95,3757.93,384727,1445775565.05,16231,304453,79.13,ok,7,2017,0.8658823529411608,Slight positive,3714.760714285713,22.768838354209233,45.537676708418466,3714.760714285713,3737.5295526399223,3691.991875931504
43,43,HEROMOTOCO,EQ,2017-07-14,3750.95,3765.0,3796.0,3738.0,3752.0,3758.05,3767.92,187230,705468246.2,14517,101149,54.02,ok,7,2017,0.1892853810368189,Slight or No change,3721.7571428571423,5.0204581464380045,10.040916292876009,3721.7571428571423,3726.7776010035805,3716.736684710704
44,44,HEROMOTOCO,EQ,2017-07-17,3758.05,3758.05,3785.0,3738.05,3765.0,3764.35,3761.76,131553,494871344.15,8933,72510,55.12,ok,7,2017,0.1676401325155341,Slight or No change,3726.696428571428,4.454772721491026,8.909545442982052,3726.696428571428,3731.151201292919,3722.241655849937
45,45,HEROMOTOCO,EQ,2017-07-18,3764.35,3755.0,3799.0,3755.0,3780.0,3783.95,3781.79,224796,850131063.55,19334,160601,71.44,ok,7,2017,0.5206742199848513,Slight positive,3733.5178571428564,13.859292911262674,27.71858582252535,3733.5178571428564,3747.3771500541193,3719.6585642315936
46,46,HEROMOTOCO,EQ,2017-07-19,3783.95,3787.0,3795.0,3757.7,3785.0,3770.65,3772.67,464119,1750968158.05,45055,400082,86.2,ok,7,2017,-0.3514845597853977,Slight or No change,3737.3964285714283,9.404520189790333,18.809040379580665,3737.3964285714283,3746.8009487612185,3727.991908381638
47,47,HEROMOTOCO,EQ,2017-07-20,3770.65,3772.05,3787.95,3716.5,3716.5,3729.9,3734.07,374090,1396879932.5,29554,302848,80.96,ok,7,2017,-1.0807155265007309,Negative,3739.4357142857143,28.814601333355107,57.62920266671021,3739.4357142857143,3768.2503156190696,3710.621112952359
48,48,HEROMOTOCO,EQ,2017-07-21,3729.9,3729.05,3741.0,3675.0,3678.0,3682.0,3705.64,427736,1585034226.55,32196,327936,76.67,ok,7,2017,-1.2842167350331168,Negative,3732.714285714286,33.870414818837006,67.74082963767401,3732.714285714286,3766.584700533123,3698.8438708954486
49,49,HEROMOTOCO,EQ,2017-07-24,3682.0,3692.0,3725.3,3682.05,3688.25,3692.3,3702.54,236050,873984299.75,21284,172608,73.12,ok,7,2017,0.27973927213471583,Slight or No change,3731.925,7.283199846227095,14.56639969245419,3731.925,3739.208199846227,3724.641800153773
50,50,HEROMOTOCO,EQ,2017-07-25,3692.3,3725.0,3750.0,3700.0,3700.0,3709.05,3723.7,433381,1613782206.2,36587,290027,66.92,ok,7,2017,0.4536467784307829,Slight or No change,3731.8750000000005,11.84403858487859,23.68807716975718,3731.8750000000005,3743.719038584879,3720.030961415122
51,51,HEROMOTOCO,EQ,2017-07-26,3709.05,3715.0,3745.45,3687.0,3715.5,3717.45,3717.68,366612,1362946036.55,12903,238293,65.0,ok,7,2017,0.22647308610019845,Slight or No change,3731.3107142857148,5.939696961978407,11.879393923956814,3731.3107142857148,3737.250411247693,3725.3710173237364
52,52,HEROMOTOCO,EQ,2017-07-27,3717.45,3727.7,3759.0,3682.0,3711.8,3703.55,3730.08,452512,1687905667.8,32051,307961,68.06,ok,7,2017,-0.3739122247777282,Slight or No change,3732.8750000000005,9.828784258499548,19.657568516999095,3732.8750000000005,3742.7037842585,3723.046215741501
53,53,HEROMOTOCO,EQ,2017-07-28,3703.55,3691.55,3691.55,3610.0,3620.05,3630.3,3654.08,276500,1010351861.75,32529,177586,64.23,ok,7,2017,-1.9778320800313165,Negative,3725.6821428571434,51.7955717219159,103.5911434438318,3725.6821428571434,3777.4777145790595,3673.8865711352273
54,54,HEROMOTOCO,EQ,2017-07-31,3630.3,3629.9,3672.9,3605.0,3658.0,3655.75,3639.88,504658,1836894967.45,34281,401554,79.57,ok,7,2017,0.701043990854755,Slight positive,3719.071428571429,17.99586758119941,35.99173516239882,3719.071428571429,3737.0672961526284,3701.0755609902294
55,55,HEROMOTOCO,EQ,2017-08-01,3655.75,3675.0,3737.65,3668.05,3733.0,3727.85,3698.48,685598,2535667299.4,38264,490478,71.54,ok,8,2017,1.9722355193872556,Positive,3719.721428571429,50.98239892355221,101.96479784710442,3719.721428571429,3770.7038274949814,3668.7390296478766
56,56,HEROMOTOCO,EQ,2017-08-02,3727.85,3750.0,3838.8,3743.4,3798.0,3802.6,3805.23,828588,3152966310.8,49804,377671,45.58,ok,8,2017,2.005177246938583,Positive,3723.4107142857147,52.856231893698755,105.71246378739751,3723.4107142857147,3776.2669461794135,3670.554482392016
57,57,HEROMOTOCO,EQ,2017-08-03,3802.6,3812.0,3845.0,3772.0,3838.95,3838.35,3822.22,424548,1622714923.9,28086,270104,63.62,ok,8,2017,0.9401462157471174,Slight positive,3729.1464285714287,25.27906742743011,50.55813485486022,3729.1464285714287,3754.425495998859,3703.8673611439986
58,58,HEROMOTOCO,EQ,2017-08-04,3838.35,3836.0,3964.0,3816.4,3944.25,3956.55,3914.33,789172,3089081400.1,44565,462041,58.55,ok,8,2017,3.0794482003986268,Among top gainers,3742.8750000000005,83.58002153625365,167.1600430725073,3742.8750000000005,3826.455021536254,3659.2949784637467
59,59,HEROMOTOCO,EQ,2017-08-07,3956.55,3950.0,4018.9,3927.85,3940.05,3952.7,3971.01,644961,2561148529.4,36236,411225,63.76,ok,8,2017,-0.09730699725771784,Slight or No change,3754.928571428572,2.722361107691672,5.444722215383344,3754.928571428572,3757.6509325362636,3752.2062103208805
60,60,HEROMOTOCO,EQ,2017-08-08,3952.7,3957.0,4003.5,3896.05,3905.0,3913.4,3940.03,253242,997781917.0,23105,126006,49.76,ok,8,2017,-0.9942570900903114,Slight negative,3765.1250000000005,27.78929650064302,55.57859300128604,3765.1250000000005,3792.9142965006436,3737.3357034993574
61,61,HEROMOTOCO,EQ,2017-08-09,3913.4,3915.0,3945.0,3859.55,3890.0,3883.75,3887.46,343296,1334550182.8,21506,189189,55.11,ok,8,2017,-0.7576531915981066,Slight negative,3776.1142857142863,20.965716062198457,41.93143212439691,3776.1142857142863,3797.080001776485,3755.1485696520876
62,62,HEROMOTOCO,EQ,2017-08-10,3883.75,3875.0,3945.0,3861.05,3899.0,3889.55,3909.14,303409,1186067074.35,25690,144371,47.58,ok,8,2017,0.14934019954941924,Slight or No change,3790.939285714286,4.101219330972322,8.202438661944644,3790.939285714286,3795.0405050452587,3786.8380663833136
63,63,HEROMOTOCO,EQ,2017-08-11,3889.55,3878.3,3878.3,3796.7,3845.9,3840.9,3831.67,302935,1160746333.25,35531,171823,56.72,ok,8,2017,-1.2507873661477542,Negative,3801.553571428572,34.40074490473707,68.80148980947413,3801.553571428572,3835.954316333309,3767.152826523835
64,64,HEROMOTOCO,EQ,2017-08-14,3840.9,3850.0,3975.0,3849.5,3950.0,3957.05,3933.9,263329,1035909278.7,23933,136548,51.85,ok,8,2017,3.0240308261084703,Among top gainers,3819.267857142858,82.13045263482218,164.26090526964435,3819.267857142858,3901.39830977768,3737.1374045080356
65,65,HEROMOTOCO,EQ,2017-08-16,3957.05,3965.1,4044.0,3933.3,4010.35,4022.1,4011.2,475186,1906068220.15,43242,262033,55.14,ok,8,2017,1.643901391187863,Positive,3841.028571428572,45.99729611619296,91.99459223238593,3841.028571428572,3887.025867544765,3795.031275312379
66,66,HEROMOTOCO,EQ,2017-08-17,4022.1,4025.0,4038.3,3975.6,3989.0,3997.85,4000.14,351635,1406588757.65,37331,245085,69.7,ok,8,2017,-0.6029188732254331,Slight negative,3862.05,17.14733944379616,34.29467888759232,3862.05,3879.1973394437964,3844.902660556204
67,67,HEROMOTOCO,EQ,2017-08-18,3997.85,3983.0,4000.75,3968.5,3974.0,3986.7,3982.0,209351,833635417.65,25853,145509,69.5,ok,8,2017,-0.27889990870092474,Slight or No change,3887.5071428571428,7.88424061028028,15.76848122056056,3887.5071428571428,3895.391383467423,3879.6229022468624
68,68,HEROMOTOCO,EQ,2017-08-21,3986.7,3988.0,4038.3,3950.05,3959.0,3972.05,3987.93,246195,981809145.15,26124,148027,60.13,ok,8,2017,-0.3674718438808955,Slight or No change,3910.1,10.359114344423427,20.718228688846853,3910.1,3920.459114344423,3899.7408856555767
69,69,HEROMOTOCO,EQ,2017-08-22,3972.05,3997.0,3998.1,3881.15,3893.95,3888.05,3918.17,290303,1137457307.5,21454,140810,48.5,ok,8,2017,-2.114777004317669,Negative,3921.5428571428574,59.39696961967937,118.79393923935874,3921.5428571428574,3980.939826762537,3862.145887523178
70,70,HEROMOTOCO,EQ,2017-08-23,3888.05,3927.0,3950.0,3865.6,3897.0,3888.9,3886.72,407757,1584837562.6,26257,300270,73.64,ok,8,2017,0.021861858772398438,Slight or No change,3927.7071428571435,0.6010407650450467,1.2020815300900933,3927.7071428571435,3928.3081836221886,3927.1061020920984
71,71,HEROMOTOCO,EQ,2017-08-24,3888.9,3908.0,3925.0,3870.0,3888.0,3882.65,3893.77,222636,866893012.2,14022,145783,65.48,ok,8,2017,-0.1607138265319219,Slight or No change,3930.8714285714295,4.419417382558143,8.838834765116285,3930.8714285714295,3935.2908459539876,3926.4520111888714
72,72,HEROMOTOCO,EQ,2017-08-28,3882.65,3885.0,3993.95,3838.45,3956.0,3959.2,3951.62,435266,1720007190.65,32321,292831,67.28,ok,8,2017,1.9715915676149052,Positive,3931.0607142857148,54.1290240998403,108.2580481996806,3931.0607142857148,3985.189738385555,3876.9316901858747
73,73,HEROMOTOCO,EQ,2017-08-29,3959.2,3940.0,3980.0,3921.7,3950.0,3945.7,3948.91,397802,1570884043.75,18846,273038,68.64,ok,8,2017,-0.3409779753485553,Slight or No change,3930.5607142857148,9.545941546071436,19.091883092142872,3930.5607142857148,3940.106655831786,3921.0147727396434
74,74,HEROMOTOCO,EQ,2017-08-30,3945.7,3950.0,4015.0,3949.85,3977.4,3988.1,3993.13,261951,1046003736.05,15350,141503,54.02,ok,8,2017,1.0745875256608528,Positive,3935.8964285714287,29.981327522325582,59.962655044651164,3935.8964285714287,3965.877756093754,3905.915101049103
75,75,HEROMOTOCO,EQ,2017-08-31,3988.1,3989.0,4021.0,3968.0,3985.0,3995.1,3999.85,469468,1877802253.8,29406,308984,65.82,ok,8,2017,0.17552217848098015,Slight or No change,3943.85,4.949747468394214,9.899494936788429,3943.85,3948.7997474683943,3938.9002525316055
76,76,HEROMOTOCO,EQ,2017-09-01,3995.1,4006.0,4091.95,3995.0,4036.05,4048.95,4046.97,388220,1571114355.85,25372,208683,53.75,ok,9,2017,1.3479011789442108,Positive,3955.235714285714,38.07770016690646,76.15540033381292,3955.235714285714,3993.3134144526207,3917.1580141188074
77,77,HEROMOTOCO,EQ,2017-09-04,4048.95,4084.0,4084.0,3961.45,3975.0,3978.9,3998.6,226397,905271234.7,18430,95454,42.16,ok,9,2017,-1.7300781684140287,Negative,3965.0928571428567,49.53283002212617,99.06566004425234,3965.0928571428567,4014.625687164983,3915.5600271207304
78,78,HEROMOTOCO,EQ,2017-09-05,3978.9,3994.0,4007.5,3960.0,3962.45,3970.45,3978.0,250627,996994461.4,17579,149408,59.61,ok,9,2017,-0.21237025308502575,Slight or No change,3966.0499999999993,5.9750523011076915,11.950104602215383,3966.0499999999993,3972.025052301107,3960.0749476988917
79,79,HEROMOTOCO,EQ,2017-09-06,3970.45,3953.0,3994.9,3940.0,3947.7,3950.65,3965.11,218970,868240833.9,18732,135263,61.77,ok,9,2017,-0.4986840282587557,Slight or No change,3960.946428571428,14.000714267529466,28.00142853505893,3960.946428571428,3974.9471428389575,3946.9457143038985
80,80,HEROMOTOCO,EQ,2017-09-07,3950.65,3953.0,4012.5,3953.0,3980.0,3982.9,3992.95,256960,1026029688.5,28512,144893,56.39,ok,9,2017,0.8163213648386902,Slight positive,3959.878571428571,22.804193693287715,45.60838738657543,3959.878571428571,3982.6827651218587,3937.074377735283
81,81,HEROMOTOCO,EQ,2017-09-08,3982.9,3997.4,4002.0,3946.75,3947.95,3956.05,3973.23,145201,576917068.0,10665,76936,52.99,ok,9,2017,-0.6741319139320523,Slight negative,3957.6892857142857,18.985817074884466,37.97163414976893,3957.6892857142857,3976.67510278917,3938.7034686394013
82,82,HEROMOTOCO,EQ,2017-09-11,3956.05,3999.0,3999.95,3936.6,3950.0,3944.5,3956.29,217005,858535627.25,20246,157953,72.79,ok,9,2017,-0.2919578872865647,Slight or No change,3955.7214285714285,8.167083322765102,16.334166645530203,3955.7214285714285,3963.8885118941935,3947.5543452486636
83,83,HEROMOTOCO,EQ,2017-09-12,3944.5,3958.4,3970.35,3909.95,3913.8,3918.9,3927.88,219890,863701556.5,17836,149003,67.76,ok,9,2017,-0.6490049435923462,Slight negative,3957.9249999999997,18.10193359840348,36.20386719680696,3957.9249999999997,3976.026933598403,3939.8230664015964
84,84,HEROMOTOCO,EQ,2017-09-13,3918.9,3913.8,3970.0,3878.0,3899.9,3893.55,3930.41,262986,1033642624.6,19729,133005,50.57,ok,9,2017,-0.6468651917629908,Slight negative,3958.2571428571428,17.925156903109702,35.850313806219404,3958.2571428571428,3976.1822997602526,3940.331985954033
85,85,HEROMOTOCO,EQ,2017-09-14,3893.55,3905.0,3922.0,3884.45,3890.0,3891.25,3900.75,190185,741863585.75,14689,94795,49.84,ok,9,2017,-0.05907205506543445,Slight or No change,3958.871428571428,1.6263455970781855,3.252691194156371,3958.871428571428,3960.4977741685066,3957.2450829743498
86,86,HEROMOTOCO,EQ,2017-09-15,3891.25,3885.0,3910.0,3870.0,3888.0,3888.0,3887.9,389738,1515261646.8,26966,270902,69.51,ok,9,2017,-0.08352071956312379,Slight or No change,3953.785714285714,2.2980970391038116,4.596194078207623,3953.785714285714,3956.083811324818,3951.4876172466106
87,87,HEROMOTOCO,EQ,2017-09-18,3888.0,3895.0,3961.4,3895.0,3955.95,3949.9,3943.88,573380,2261344373.45,34953,301990,52.67,ok,9,2017,1.5920781893004057,Positive,3954.0857142857144,43.769909755459594,87.53981951091919,3954.0857142857144,3997.855624041174,3910.315804530255
88,88,HEROMOTOCO,EQ,2017-09-19,3949.9,3970.0,3977.85,3936.8,3945.0,3944.25,3953.34,154125,609308954.7,13074,62636,40.64,ok,9,2017,-0.14304159598977906,Slight or No change,3950.9535714285716,3.995153313828497,7.990306627656994,3950.9535714285716,3954.9487247424004,3946.958418114743
89,89,HEROMOTOCO,EQ,2017-09-20,3944.25,3939.85,3958.3,3845.0,3850.0,3856.05,3875.62,515833,1999171918.3,53726,350698,67.99,ok,9,2017,-2.236166571591558,Negative,3941.021428571429,62.366818100662535,124.73363620132507,3941.021428571429,4003.3882466720916,3878.654610470767
90,90,HEROMOTOCO,EQ,2017-09-21,3856.05,3856.1,3901.55,3811.7,3890.55,3896.4,3872.96,490206,1898548191.95,25976,279486,57.01,ok,9,2017,1.0464075932625327,Positive,3930.125000000001,28.531758620898124,57.06351724179625,3930.125000000001,3958.656758620899,3901.593241379103
91,91,HEROMOTOCO,EQ,2017-09-22,3896.4,3879.95,3879.95,3780.05,3785.0,3791.15,3815.4,719999,2747083251.15,31447,499096,69.32,ok,9,2017,-2.7012113746021966,Negative,3916.7142857142867,74.42298871989227,148.84597743978455,3916.7142857142867,3991.137274434179,3842.2912969943945
